,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
040001,0.03434380362210643,0.05238109192622553,0.14649238519842567,0.2773519167504792,-0.1887088710243502,0.04411450052085475,-0.25464588030014035,0.39598162143334736,0.4132119213445411,0.2838643300829873,-0.22705343455732285,-0.20510011831332298,0.024378601712208736
050001,0.020533569608025104,-0.07402431784162844,0.23255515619940703,0.06349370901275742,-0.09399713759776607,0.015669510104170836,-0.19537356071664902,0.45991908364968115,0.40184804668732355,-0.032920380259582105,-0.16548183430032348,-0.09829877227394523,0.0977289212874588
070002,0.055642495532173264,0.14224876337620618,0.14917545352922934,0.673385137016187,-0.0773336738011029,0.031424451106147666,-0.10869811063081447,0.52365032076425,0.6559920077638679,-0.02806526999553849,-0.1305171464055146,-0.16980013447664122,0.006504087122532143
110011,0.05228901886651216,0.09603798047608203,0.3143844987189379,0.2569069200379319,0.08263110632017456,0.46919511059266794,-0.14380423960293276,0.6581953518300223,0.8425660068886138,-0.13394552157883854,-0.14341215959286002,-0.2154768244459997,0.01677505987411676
161005,0.06283194707183237,0.181756106618864,0.256589623744061,0.6909245545314266,-0.15260901613204036,0.27798437680439236,-0.26926887584094605,0.622095509495947,0.5856274714787384,0.005022480129144968,-0.23958813723332295,-0.09939218000783479,0.012528019731760542
163402,0.05451633446647519,0.07930343335501666,0.36293466965509324,0.4306139998988745,-0.010069501457031449,0.25151031590145,-0.179233608175153,0.42568143099431843,0.48050681713014143,0.036823602166644376,-0.21709508992264737,-0.14961260162774692,0.08188116710374804
202002,-0.0057651708516132105,0.05093116938449649,0.2141925879589004,0.4274042544011105,-0.11487230321205799,0.191161516647107,-0.2306893615765917,0.4202496476215205,0.5944288268770528,0.026702101250545285,-0.18036893050024294,-0.1374665286957616,0.053478513445437637
270006,0.07255662010594977,0.0621327659833566,0.1035985141604594,0.44127986185196955,-0.1695108476258541,0.14006506891073323,-0.35753313214595484,0.5145408673869234,0.5495451608633588,0.1499659388337513,-0.0921507480679864,-0.2511883382278963,-0.06715990942032368
377010,-0.07211730380865711,0.10765975924582394,-0.009292491163103711,0.5165704090455687,-0.09853722383058972,0.21335081799968014,-0.4280582036231866,0.5801463469821961,0.4772073369034695,0.1871178194594707,-0.25207848630791607,-0.18588424213736043,0.1399477642906528
260116,0.3174502495222644,0.2116155213651012,0.30735690232003976,0.3591901338277994,-0.12908029803348897,0.4765656975465207,-0.26344983496335717,0.5115917965106831,0.5023476136889473,0.04947266897677127,-0.211470007947542,-0.06462311607273707,0.07346769164646028
SHCOMP,0.03189211257515989,-0.0677732147077651,0.529368353099912,0.09421520412256834,-0.1232354198546064,0.06561546996084511,-0.24538755748937768,0.22254838037933689,0.13837645386019548,0.04810783877450775,-0.15086736160038072,-0.03739277036440125,0.04450852957207019
