Period,Rank,Fund,Max Drawdown (%)
2016-07,6,202002,-3.9388
2016-07,7,260116,-5.5796
2016-07,8,040001,-4.1606
2016-07,9,377010,-3.2037
2016-07,10,050001,-5.0951
2016-10,1,377010,-7.3287
2016-10,2,110011,-5.622
2016-10,3,260116,-7.6431
2016-10,4,163402,-3.695
2016-10,5,270006,-8.1637
2016-10,6,050001,-4.4783
2016-10,7,202002,-5.0843
2016-10,8,161005,-5.3488
2016-10,9,040001,-6.0571
2016-10,10,070002,-7.7369
2017-01,1,050001,-6.3979
2017-01,2,163402,-3.9608
2017-01,3,202002,-3.9662
2017-01,4,110011,-2.362
2017-01,5,161005,-5.8115
2017-01,6,260116,-2.9663
2017-01,7,070002,-5.5956
2017-01,8,040001,-3.1694
2017-01,9,270006,-7.3688
2017-01,10,377010,-3.864
2017-04,1,110011,-1.9956
2017-04,2,377010,-3.1851
2017-04,3,260116,-3.558
2017-04,4,202002,-5.7964
2017-04,5,161005,-4.4641
2017-04,6,163402,-6.7298
2017-04,7,270006,-8.8154
2017-04,8,040001,-5.9295
2017-04,9,070002,-13.8548
2017-04,10,050001,-3.3064
2017-07,1,260116,-4.3287
2017-07,2,110011,-2.8737
2017-07,3,377010,-4.2746
2017-07,4,161005,-4.7625
2017-07,5,050001,-4.4251
2017-07,6,202002,-2.6981
2017-07,7,163402,-2.1927
2017-07,8,270006,-5.4166
2017-07,9,040001,-3.6132
2017-07,10,070002,-2.1284
2017-10,1,070002,-8.8665
2017-10,2,161005,-7.6
2017-10,3,270006,-7.6948
2017-10,4,163402,-5.6413
2017-10,5,377010,-13.715
2017-10,6,040001,-9.4738
2017-10,7,202002,-6.5857
2017-10,8,260116,-8.4483
2017-10,9,110011,-7.1965
2017-10,10,050001,-5.0304
2018-01,1,260116,-12.686
2018-01,2,110011,-12.9302
2018-01,3,163402,-10.2202
2018-01,4,161005,-11.8489
2018-01,5,270006,-12.9369
2018-01,6,202002,-10.6179
2018-01,7,070002,-10.6968
2018-01,8,050001,-7.7326
2018-01,9,040001,-10.9682
2018-01,10,377010,-10.9715
2018-04,1,161005,-12.981
2018-04,2,163402,-11.3072
2018-04,3,070002,-5.7375
2018-04,4,050001,-11.5513
2018-04,5,110011,-9.4377
2018-04,6,260116,-12.4119
2018-04,7,040001,-12.9431
2018-04,8,202002,-8.1213
2018-04,9,377010,-15.7418
2018-04,10,270006,-14.2195
2018-07,1,110011,-15.6603
2018-07,2,070002,-10.6408
2018-07,3,202002,-11.9484
2018-07,4,161005,-17.2059
2018-07,5,260116,-15.1752
2018-07,6,163402,-9.7498
2018-07,7,270006,-16.9754
2018-07,8,050001,-12.0357
2018-07,9,040001,-8.9641
2018-07,10,377010,-23.027
2018-10,1,070002,-11.0609
2018-10,2,163402,-9.0436
2018-10,3,202002,-10.9435
2018-10,4,110011,-15.9594
2018-10,5,040001,-7.4909
2018-10,6,050001,-5.9611
2018-10,7,260116,-9.6387
2018-10,8,161005,-12.8373
2018-10,9,270006,-11.2101
2018-10,10,377010,-12.7678
2019-01,1,050001,-6.4427
2019-01,2,163402,-3.8156
2019-01,3,040001,-4.0649
2019-01,4,070002,-2.5812
2019-01,5,260116,-5.0578
2019-01,6,270006,-3.8448
2019-01,7,202002,-3.3645
2019-01,8,110011,-5.3771
2019-01,9,377010,-3.8305
2019-01,10,161005,-2.9711
2019-04,1,161005,-11.4921
2019-04,2,110011,-8.5688
2019-04,3,270006,-11.2365
2019-04,4,260116,-10.9173
2019-04,5,377010,-12.2921
2019-04,6,163402,-9.8708
2019-04,7,050001,-10.3365
2019-04,8,040001,-9.8241
2019-04,9,070002,-4.8219
2019-04,10,202002,-9.5508
2019-07,1,110011,-8.5898
2019-07,2,070002,-3.9739
2019-07,3,040001,-4.5711
2019-07,4,161005,-6.6985
2019-07,5,260116,-7.5148
