Period,Rank,Fund,Sharpe Ratio
2016-10,3,260116,-0.2114
2016-10,4,163402,-0.0076
2016-10,5,270006,-0.3051
2016-10,6,050001,0.1784
2016-10,7,202002,-0.06
2016-10,8,161005,-0.2082
2016-10,9,040001,-0.3998
2016-10,10,070002,-0.2505
2017-01,1,050001,-0.1362
2017-01,2,163402,0.3819
2017-01,3,202002,0.7225
2017-01,4,110011,1.2225
2017-01,5,161005,0.5491
2017-01,6,260116,1.051
2017-01,7,070002,-0.0289
2017-01,8,040001,0.1405
2017-01,9,270006,0.1275
2017-01,10,377010,0.8362
2017-04,1,110011,0.9483
2017-04,2,377010,0.7364
2017-04,3,260116,0.969
2017-04,4,202002,0.3412
2017-04,5,161005,0.5278
2017-04,6,163402,0.3446
2017-04,7,270006,0.0957
2017-04,8,040001,0.0412
2017-04,9,070002,-0.5478
2017-04,10,050001,0.6152
2017-07,1,260116,0.1379
2017-07,2,110011,0.1404
2017-07,3,377010,0.248
2017-07,4,161005,0.6039
2017-07,5,050001,-0.3294
2017-07,6,202002,0.243
2017-07,7,163402,0.6257
2017-07,8,270006,0.3625
2017-07,9,040001,0.2992
2017-07,10,070002,0.7925
2017-10,1,070002,0.236
2017-10,2,161005,0.3135
2017-10,3,270006,0.3242
2017-10,4,163402,0.8148
2017-10,5,377010,-0.1867
2017-10,6,040001,-0.0376
2017-10,7,202002,0.363
2017-10,8,260116,0.8004
2017-10,9,110011,0.7463
2017-10,10,050001,-0.0438
2018-01,1,260116,-0.097
2018-01,2,110011,-0.0385
2018-01,3,163402,0.0239
2018-01,4,161005,0.0633
2018-01,5,270006,-0.4403
2018-01,6,202002,-0.1804
2018-01,7,070002,-0.0046
2018-01,8,050001,-0.0453
2018-01,9,040001,-0.1356
2018-01,10,377010,-0.1813
2018-04,1,161005,-0.224
2018-04,2,163402,-0.4446
2018-04,3,070002,0.1387
2018-04,4,050001,-0.632
2018-04,5,110011,0.3184
2018-04,6,260116,-0.2479
2018-04,7,040001,-0.6494
2018-04,8,202002,-0.2586
2018-04,9,377010,-0.5008
2018-04,10,270006,-0.4376
2018-07,1,110011,-0.1985
2018-07,2,070002,-0.0914
2018-07,3,202002,-0.2752
2018-07,4,161005,-0.3559
2018-07,5,260116,-0.364
2018-07,6,163402,-0.1212
2018-07,7,270006,-0.3844
2018-07,8,050001,-0.3495
2018-07,9,040001,-0.3227
2018-07,10,377010,-0.6829
2018-10,1,070002,-0.4735
2018-10,2,163402,-0.3869
2018-10,3,202002,-0.6873
2018-10,4,110011,-0.4362
2018-10,5,040001,-0.521
2018-10,6,050001,-0.2356
2018-10,7,260116,-0.4951
2018-10,8,161005,-0.5777
2018-10,9,270006,-0.4791
2018-10,10,377010,-0.4899
2019-01,1,050001,1.2408
2019-01,2,163402,1.254
2019-01,3,040001,1.2678
2019-01,4,070002,1.2436
2019-01,5,260116,1.2942
2019-01,6,270006,1.2797
2019-01,7,202002,1.0574
2019-01,8,110011,1.303
2019-01,9,377010,1.3177
2019-01,10,161005,1.5291
2019-04,1,161005,0.0735
2019-04,2,110011,0.4005
2019-04,3,270006,-0.0486
2019-04,4,260116,0.0476
2019-04,5,377010,-0.0212
2019-04,6,163402,-0.0226
2019-04,7,050001,-0.098
2019-04,8,040001,0.1313
2019-04,9,070002,0.3907
2019-04,10,202002,0.0199
2019-07,1,110011,0.2686
2019-07,2,070002,0.5585
2019-07,3,040001,0.1073
2019-07,4,161005,0.4334
2019-07,5,260116,0.2708
2019-07,6,202002,0.8532
2019-07,7,377010,0.3042
2019-07,8,163402,0.2503
2019-07,9,270006,0.4962
2019-07,10,050001,0.4865
2019-10,1,202002,0.5209
2019-10,2,070002,0.4742
2019-10,3,161005,0.6764
2019-10,4,270006,0.6246
2019-10,5,050001,1.095
2019-10,6,110011,0.3215
2019-10,7,377010,1.2857
2019-10,8,260116,0.7521
2019-10,9,163402,0.7762
2019-10,10,040001,0.8693
2020-01,1,377010,-0.0982
2020-01,2,050001,-0.0095
2020-01,3,260116,-0.1481
2020-01,4,040001,-0.3476
2020-01,5,163402,0.0793
2020-01,6,161005,-0.1193
2020-01,7,270006,-0.0772
2020-01,8,202002,0.1311
2020-01,9,070002,0.1577
2020-01,10,110011,-0.1468
2020-04,1,070002,1.8818
2020-04,2,202002,1.4492
2020-04,3,163402,0.9255
2020-04,4,050001,1.1454
2020-04,5,270006,1.3423
2020-04,6,377010,1.1758
2020-04,7,161005,1.6963
2020-04,8,260116,1.3621
2020-04,9,110011,1.465
2020-04,10,040001,1.1423
2020-07,1,070002,0.4678
2020-07,2,161005,0.5636
2020-07,3,110011,0.6658
2020-07,4,202002,0.3413
2020-07,5,260116,0.5323
2020-07,6,377010,0.8653
2020-07,7,270006,0.5857
2020-07,8,050001,0.1697
2020-07,9,040001,0.7503
2020-07,10,163402,0.6083
2020-10,1,377010,0.2666
2020-10,2,110011,1.3472
2020-10,3,040001,0.8919
2020-10,4,161005,0.6906
2020-10,5,163402,0.7914
2020-10,6,270006,1.0231
2020-10,7,260116,0.7782
2020-10,8,070002,0.6644
2020-10,9,202002,0.6467
2020-10,10,050001,1.0146
2021-01,1,110011,-0.1405
2021-01,2,270006,-0.0974
2021-01,3,050001,0.0232
2021-01,4,260116,-0.3219
2021-01,5,040001,-0.1567
2021-01,6,161005,-0.0375
2021-01,7,202002,-0.2306
2021-01,8,070002,-0.1215
2021-01,9,163402,0.0547
2021-01,10,377010,0.5339
2021-04,1,377010,0.0695
2021-04,2,163402,-0.1098
2021-04,3,050001,0.2694
2021-04,4,161005,0.4214
2021-04,5,270006,0.6095
2021-04,6,070002,0.8852
2021-04,7,040001,0.7409
2021-04,8,110011,0.1373
2021-04,9,202002,0.9652
2021-04,10,260116,0.4256
2021-07,1,202002,-0.2133
2021-07,2,070002,-0.4956
2021-07,3,040001,0.3913
2021-07,4,270006,0.1002
2021-07,5,260116,0.0724
2021-07,6,161005,-0.4356
2021-07,7,050001,-0.2943
2021-07,8,110011,-0.5604
2021-07,9,377010,0.0622
2021-07,10,163402,-0.1647
2021-10,1,040001,0.4415
2021-10,2,270006,0.2396
2021-10,3,260116,0.1545
2021-10,4,377010,0.3729
2021-10,5,163402,0.4652
2021-10,6,202002,-0.0358
2021-10,7,050001,-0.1081
2021-10,8,161005,0.2891
2021-10,9,110011,-0.0643
2021-10,10,070002,-0.1852
2022-01,1,040001,-0.791
2022-01,2,163402,-0.5209
2022-01,3,270006,-0.1749
2022-01,4,377010,-0.7603
2022-01,5,161005,-0.76
2022-01,6,260116,-0.5851
2022-01,7,202002,-0.5611
2022-01,8,110011,-0.4375
2022-01,9,050001,-0.47
2022-01,10,070002,-0.8722
2022-04,1,270006,0.2225
2022-04,2,050001,0.2299
2022-04,3,163402,0.0402
2022-04,4,202002,0.2913
2022-04,5,260116,0.4206
2022-04,6,110011,0.4167
2022-04,7,377010,0.3789
2022-04,8,070002,0.433
2022-04,9,040001,0.3733
2022-04,10,161005,0.349
2022-07,1,110011,-0.705
2022-07,2,260116,-0.7536
2022-07,3,040001,-0.6284
2022-07,4,377010,-1.0028
2022-07,5,070002,-0.6372
2022-07,6,161005,-0.9594
2022-07,7,202002,-0.5248
2022-07,8,270006,-0.5104
2022-07,9,050001,-0.6802
2022-07,10,163402,-0.5181
2022-10,1,163402,-0.1222
2022-10,2,202002,-0.1694
2022-10,3,070002,0.3616
2022-10,4,050001,-0.0539
2022-10,5,270006,-0.0099
2022-10,6,040001,-0.1694
2022-10,7,260116,-0.1035
2022-10,8,110011,0.1528
2022-10,9,161005,0.0713
2022-10,10,377010,-0.0376
2023-01,1,070002,0.4117
2023-01,2,110011,0.033
2023-01,3,161005,0.2865
2023-01,4,270006,0.1413
2023-01,5,377010,0.4501
2023-01,6,050001,0.2821
2023-01,7,260116,0.2755
2023-01,8,163402,0.0166
2023-01,9,202002,0.1777
2023-01,10,040001,-0.1446
2023-04,1,377010,-0.1678
2023-04,2,070002,-0.563
2023-04,3,260116,-0.2652
2023-04,4,161005,-0.3324
2023-04,5,050001,-0.1159
2023-04,6,270006,-0.4147
2023-04,7,202002,-0.3308
2023-04,8,110011,-0.5853
2023-04,9,163402,0.0014
2023-04,10,040001,-0.3213
2023-07,1,163402,-0.5773
2023-07,2,050001,-0.49
2023-07,3,202002,-0.6732
2023-07,4,377010,-0.6221
2023-07,5,260116,-0.1265
2023-07,6,161005,-0.241
2023-07,7,040001,-0.596
2023-07,8,070002,-0.7419
2023-07,9,270006,-0.5892
2023-07,10,110011,-0.0439
2023-10,1,110011,-0.535
2023-10,2,260116,-0.5041
2023-10,3,161005,-0.5752
2023-10,4,050001,-0.5755
2023-10,5,202002,-0.6668
2023-10,6,040001,-0.4566
2023-10,7,163402,-0.5371
2023-10,8,070002,-0.6282
2023-10,9,270006,-0.5976
2023-10,10,377010,-0.6129
2024-01,1,260116,0.3993
2024-01,2,050001,0.3029
2024-01,3,202002,0.1297
2024-01,4,070002,-0.2751
2024-01,5,161005,-0.0269
2024-01,6,040001,-0.2222
2024-01,7,163402,0.0113
2024-01,8,377010,0.0035
2024-01,9,270006,0.0606
2024-01,10,110011,-0.0202
2024-04,1,260116,0.1214
2024-04,2,050001,0.151
2024-04,3,202002,-0.2044
2024-04,4,270006,-0.5774
2024-04,5,163402,-0.0152
2024-04,6,377010,0.0163
2024-04,7,110011,-0.2249
2024-04,8,161005,-0.0854
2024-04,9,070002,-0.1124
2024-04,10,040001,-0.181
2024-07,1,260116,0.3327
2024-07,2,050001,0.4075
2024-07,3,377010,0.519
2024-07,4,163402,0.446
2024-07,5,161005,0.3677
2024-07,6,070002,0.472
2024-07,7,202002,0.4953
2024-07,8,040001,0.4837
2024-07,9,110011,0.6013
2024-07,10,270006,0.3285
2024-10,1,110011,-0.3986
2024-10,2,377010,-0.0314
2024-10,3,040001,-0.0103
2024-10,4,070002,-0.1202
2024-10,5,161005,-0.246
2024-10,6,163402,-0.0815
2024-10,7,202002,-0.1538
2024-10,8,050001,-0.2302
2024-10,9,260116,-0.365
2024-10,10,270006,-0.2308
