Period,Rank,Fund,Return (%)
2021-07,3,202002,-5.9508
2021-07,4,040001,19.677
2021-07,5,270006,8.0851
2021-07,6,161005,-5.0737
2021-07,7,050001,-7.9116
2021-07,8,163402,3.9252
2021-07,9,260116,5.4059
2021-07,10,110011,-11.4212
2022-01,1,040001,-9.5442
2022-01,2,270006,2.1774
2022-01,3,377010,-9.006
2022-01,4,260116,-6.7288
2022-01,5,163402,-12.709
2022-01,6,161005,-12.1463
2022-01,7,202002,-7.6242
2022-01,8,050001,-6.3168
2022-01,9,110011,-5.893
2022-01,10,070002,-9.8142
2022-07,1,270006,-11.1497
2022-07,2,110011,-8.9773
2022-07,3,050001,-10.9213
2022-07,4,260116,-15.4583
2022-07,5,202002,-11.2721
2022-07,6,377010,-17.8054
2022-07,7,040001,-14.5498
2022-07,8,070002,-3.5898
2022-07,9,161005,-13.4457
2022-07,10,163402,-10.3109
2023-01,1,070002,-2.7915
2023-01,2,110011,-10.9078
2023-01,3,163402,0.2446
2023-01,4,050001,1.6013
2023-01,5,270006,-7.0039
2023-01,6,202002,-1.5969
2023-01,7,161005,-0.239
2023-01,8,040001,-6.7523
2023-01,9,260116,0.4869
2023-01,10,377010,2.9438
2023-07,1,377010,-20.9165
2023-07,2,050001,-11.251
2023-07,3,260116,-6.9155
2023-07,4,163402,-15.1688
2023-07,5,161005,-9.7235
2023-07,6,202002,-12.3469
2023-07,7,070002,-14.596
2023-07,8,040001,-14.7539
2023-07,9,270006,-19.4793
2023-07,10,110011,-11.9425
2024-01,1,260116,8.4196
2024-01,2,161005,-1.7044
2024-01,3,050001,6.8067
2024-01,4,110011,-4.2805
2024-01,5,202002,-0.4935
2024-01,6,070002,-6.569
2024-01,7,040001,-9.8235
2024-01,8,163402,0.012
2024-01,9,270006,-7.5845
2024-01,10,377010,0.3487
2024-07,1,260116,-0.9895
2024-07,2,050001,2.7772
2024-07,3,377010,13.5987
2024-07,4,163402,8.1751
2024-07,5,202002,5.8703
2024-07,6,161005,3.0085
2024-07,7,110011,6.2245
2024-07,8,070002,7.727
2024-07,9,270006,0.9398
2024-07,10,040001,13.5971
