Period,Rank,Fund,Volatility (%)
2021-07,7,050001,18.6659
2021-07,8,163402,13.9645
2021-07,9,260116,24.5066
2021-07,10,110011,18.6986
2022-01,1,040001,26.2276
2022-01,2,270006,26.9613
2022-01,3,377010,25.3541
2022-01,4,260116,28.539
2022-01,5,163402,24.4341
2022-01,6,161005,24.5575
2022-01,7,202002,24.1233
2022-01,8,050001,20.6124
2022-01,9,110011,35.8805
2022-01,10,070002,21.3177
2022-07,1,270006,22.6489
2022-07,2,110011,32.0513
2022-07,3,050001,14.8794
2022-07,4,260116,16.8129
2022-07,5,202002,16.6037
2022-07,6,377010,18.6836
2022-07,7,040001,18.5248
2022-07,8,070002,16.2828
2022-07,9,161005,16.9532
2022-07,10,163402,16.9016
2023-01,1,070002,12.6338
2023-01,2,110011,21.5396
2023-01,3,163402,14.6065
2023-01,4,050001,11.0054
2023-01,5,270006,19.9418
2023-01,6,202002,10.1564
2023-01,7,161005,12.9625
2023-01,8,040001,14.5072
2023-01,9,260116,13.8491
2023-01,10,377010,17.4748
2023-07,1,377010,17.8831
2023-07,2,050001,10.8626
2023-07,3,260116,11.3044
2023-07,4,163402,14.1124
2023-07,5,161005,12.0173
2023-07,6,202002,9.4849
2023-07,7,070002,11.007
2023-07,8,040001,14.7323
2023-07,9,270006,17.2226
2023-07,10,110011,21.406
2024-01,1,260116,15.5889
2024-01,2,161005,17.5427
2024-01,3,050001,14.0021
2024-01,4,110011,20.1162
2024-01,5,202002,12.7118
2024-01,6,070002,15.895
2024-01,7,040001,24.716
2024-01,8,163402,16.7353
2024-01,9,270006,18.0593
2024-01,10,377010,19.8663
2024-07,1,260116,22.2734
2024-07,2,050001,19.8011
2024-07,3,377010,30.0792
2024-07,4,163402,23.9895
2024-07,5,202002,17.6745
2024-07,6,161005,27.8714
2024-07,7,110011,27.55
2024-07,8,070002,22.1679
2024-07,9,270006,23.8263
2024-07,10,040001,31.0505
