Date,Capital Value,Fund Code,Fund Type
2013-01-11,99.66992554406318,040001,Mutual Fund
2013-01-11,97.83540092239056,050001,Mutual Fund
2013-01-11,101.01970816340715,070002,Mutual Fund
2013-01-11,100.4358663420145,110011,Mutual Fund
2013-01-11,100.6339076521546,161005,Mutual Fund
2013-01-11,99.96793706600774,163402,Mutual Fund
2013-01-11,99.4481075279652,202002,Mutual Fund
2013-01-11,98.86266458696163,260116,Mutual Fund
2013-01-11,100.6489491634127,270006,Mutual Fund
2013-01-11,100.97951123823525,377010,Mutual Fund
2013-01-11,99.70611000769917,040001,Strategy Fund
2013-01-11,98.6195407360494,050001,Strategy Fund
2013-01-11,100.8183187931361,070002,Strategy Fund
2013-01-11,100.57897240693599,110011,Strategy Fund
2013-01-11,101.3285585627376,161005,Strategy Fund
2013-01-11,99.79658360139373,163402,Strategy Fund
2013-01-11,99.64889183346884,202002,Strategy Fund
2013-01-11,100.26479681758926,260116,Strategy Fund
2013-01-11,101.16844028348328,270006,Strategy Fund
2013-01-11,101.07022022012234,377010,Strategy Fund
2013-01-11,101.19327473877091,519008,Strategy Fund
2013-01-14,101.52741780325367,Shanghai Composite,Index
2013-01-14,101.69322503260764,040001,Mutual Fund
2013-01-14,100.67262754913988,050001,Mutual Fund
2013-01-14,103.78764816708453,070002,Mutual Fund
2013-01-14,103.73016275803258,110011,Mutual Fund
2013-01-14,103.83406591549316,161005,Mutual Fund
2013-01-14,103.10693028988041,163402,Mutual Fund
2013-01-14,102.23265453874826,202002,Mutual Fund
2013-01-14,102.44149304500962,260116,Mutual Fund
2013-01-14,103.54763889931897,270006,Mutual Fund
2013-01-14,103.92811296639171,377010,Mutual Fund
2013-01-14,102.77457869737701,040001,Strategy Fund
2013-01-14,102.43203340728972,050001,Strategy Fund
2013-01-14,104.21812456981905,070002,Strategy Fund
2013-01-14,104.04561475227896,110011,Strategy Fund
2013-01-14,104.52320296424385,161005,Strategy Fund
2013-01-14,103.53578868637948,163402,Strategy Fund
2013-01-14,103.27172786031196,202002,Strategy Fund
2013-01-14,103.9339968306747,260116,Strategy Fund
2013-01-14,104.42900444069603,270006,Strategy Fund
2013-01-14,104.64405895046444,377010,Strategy Fund
2013-01-14,104.8969538046349,519008,Strategy Fund
2013-01-15,102.13658231007321,Shanghai Composite,Index
2013-01-15,102.36440031782286,040001,Mutual Fund
2013-01-15,100.94444364352255,050001,Mutual Fund
2013-01-15,104.65946441168803,070002,Mutual Fund
2013-01-15,104.0828453114099,110011,Mutual Fund
2013-01-15,104.42592009121148,161005,Mutual Fund
2013-01-15,103.66370771344575,163402,Mutual Fund
2013-01-15,102.54957576781838,202002,Mutual Fund
2013-01-15,103.23029254145621,260116,Mutual Fund
2013-01-15,104.25176284383433,270006,Mutual Fund
2013-01-15,104.59325288937661,377010,Mutual Fund
2013-01-15,103.9445874656189,040001,Strategy Fund
2013-01-15,103.1770540040629,050001,Strategy Fund
2013-01-15,105.51892719297416,070002,Strategy Fund
2013-01-15,105.12168636918989,110011,Strategy Fund
2013-01-15,105.92825533765289,161005,Strategy Fund
2013-01-15,104.45550888625952,163402,Strategy Fund
2013-01-15,104.16960388290859,202002,Strategy Fund
2013-01-15,105.20143031513392,260116,Strategy Fund
2013-01-15,105.61725613119577,270006,Strategy Fund
2013-01-15,105.91438939414522,377010,Strategy Fund
2013-01-15,106.05150203532014,519008,Strategy Fund
2013-01-16,101.4216262339027,Shanghai Composite,Index
2013-01-16,101.5250122352167,040001,Mutual Fund
2013-01-16,99.72301587543593,050001,Mutual Fund
2013-01-16,104.70132819745268,070002,Mutual Fund
2013-01-16,104.24937786390815,110011,Mutual Fund
2013-01-16,104.1857404750017,161005,Mutual Fund
2013-01-16,103.280151994906,163402,Mutual Fund
2013-01-16,101.88300352532758,202002,Mutual Fund
2013-01-16,102.70381804949477,260116,Mutual Fund
2013-01-16,103.84518096874338,270006,Mutual Fund
2013-01-16,104.69784614226599,377010,Mutual Fund
2013-01-16,104.0698633474615,040001,Strategy Fund
2013-01-16,102.54002680632188,050001,Strategy Fund
2013-01-16,105.48614549622262,070002,Strategy Fund
2013-01-16,105.10050942598997,110011,Strategy Fund
